City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
353,Novopokrovka,UA,49.84,36.55,62.6,77,0,6.71,Clear
354,Hualmay,PE,-11.1,-77.61,58.53,85,37,8.21,Clouds
355,Noormarkku,FI,61.59,21.87,60.8,93,75,6.93,Clouds
356,Sibolga,ID,1.74,98.78,84.65,66,100,5.23,Rain
357,Cabra,ES,37.47,-4.44,68.0,64,16,4.7,Clouds
358,Urumqi,CN,43.8,87.6,84.2,32,66,4.47,Clouds
359,Ambulu,ID,-8.35,113.61,82.99,61,70,7.54,Clouds
360,Marsa Matruh,EG,31.35,27.25,75.2,83,40,5.82,Clouds
361,Serebryanyy Bor,RU,56.8,124.8,59.74,85,100,0.98,Clouds
362,Laramie,US,41.31,-105.59,62.6,63,1,14.99,Clear
363,Araouane,ML,18.9,-3.53,94.23,33,36,16.04,Clouds
364,Dalbandin,PK,28.89,64.41,100.47,8,0,8.5,Clear
365,Lawrence,US,38.97,-95.24,68.0,100,1,5.82,Clear
366,Vangaindrano,MG,-23.35,47.6,65.26,77,96,3.15,Clouds
367,Constitucion,CL,-35.33,-72.42,52.63,89,27,4.0,Clouds
368,Kangaba,ML,11.93,-8.42,70.14,95,45,6.31,Clouds
369,Broome,US,42.25,-75.83,71.6,60,1,12.75,Clear
370,Bud,US,39.45,-86.18,68.0,99,66,4.41,Clouds
371,Russkaya Polyana,UA,49.42,31.92,62.46,75,2,2.08,Clear
372,Eenhana,NA,-17.47,16.33,51.8,40,0,5.82,Clear
